make,model,zmienna,wartość
Audi,A3,body_type,hatchback
Audi,A3,doors,5.0
Audi,A3,top_speed,220
Audi,A3,acceleration,7.2
Audi,A3,fuel_consumption,6.0
Audi,A3,engine,1.5 TFSI
Audi,A3,description,Audi A3 1.5 TFSI
Audi,A3,displacement,1498.0
Audi,A3,horsepower,150.0
Audi,A3,fuel_type,gasoline
Audi,A3,cylinders,4.0
Audi,A3,emissions_class,Euro 6d
Audi,Q5,body_type,SUV
Audi,Q5,doors,5.0
Audi,Q5,top_speed,237
Audi,Q5,acceleration,6.3
Audi,Q5,fuel_consumption,
Audi,Q5,engine,45 TFSI quattro
Audi,Q5,description,Audi Q5 45 TFSI quattro
Audi,Q5,displacement,1984.0
Audi,Q5,horsepower,245.0
Audi,Q5,fuel_type,gasoline
Audi,Q5,cylinders,4.0
Audi,Q5,emissions_class,Euro 6
BMW,3 Series,body_type,sedan
BMW,3 Series,doors,4.0
BMW,3 Series,top_speed,240
BMW,3 Series,acceleration,6.2
BMW,3 Series,fuel_consumption,
BMW,3 Series,engine,2.0L TwinPower Turbo
BMW,3 Series,description,BMW 3 Series 2.0L TwinPower Turbo
BMW,3 Series,displacement,1998.0
BMW,3 Series,horsepower,184.0
BMW,3 Series,fuel_type,gasoline
BMW,3 Series,cylinders,4.0
BMW,3 Series,emissions_class,Euro 6d
Fiat,500,body_type,hatchback
Fiat,500,doors,3.0
Fiat,500,top_speed,160
Fiat,500,acceleration,12.9
Fiat,500,fuel_consumption,
Fiat,500,engine,0.9 TwinAir
Fiat,500,description,Fiat 500 0.9 TwinAir
Fiat,500,displacement,875.0
Fiat,500,horsepower,85.0
Fiat,500,fuel_type,gasoline
Fiat,500,cylinders,2.0
Fiat,500,emissions_class,Euro 6d-TEMP
Fiat,Panda,body_type,hatchback
Fiat,Panda,doors,5.0
Fiat,Panda,top_speed,165
Fiat,Panda,acceleration,14.5
Fiat,Panda,fuel_consumption,5.0
Fiat,Panda,engine,1.2 8v
Fiat,Panda,description,Fiat Panda 1.2 8v
Fiat,Panda,displacement,
Fiat,Panda,horsepower,
Fiat,Panda,fuel_type,
Fiat,Panda,cylinders,
Fiat,Panda,emissions_class,
Fiat,Punto,body_type,hatchback
Fiat,Punto,doors,3.0
Fiat,Punto,top_speed,170
Fiat,Punto,acceleration,12.5
Fiat,Punto,fuel_consumption,5.2
Fiat,Punto,engine,1.2 8v
Fiat,Punto,description,Fiat Punto 1.2 8v
Fiat,Punto,displacement,
Fiat,Punto,horsepower,
Fiat,Punto,fuel_type,
Fiat,Punto,cylinders,
Fiat,Punto,emissions_class,
Ford,Mustang,body_type,coupe
Ford,Mustang,doors,2.0
Ford,Mustang,top_speed,249
Ford,Mustang,acceleration,5.8
Ford,Mustang,fuel_consumption,10.2
Ford,Mustang,engine,2.3L EcoBoost
Ford,Mustang,description,Ford Mustang 2.3L EcoBoost
Ford,Mustang,displacement,2261.0
Ford,Mustang,horsepower,350.0
Ford,Mustang,fuel_type,gasoline
Ford,Mustang,cylinders,4.0
Ford,Mustang,emissions_class,Euro 6d-TEMP
Opel,Corsa,body_type,hatchback
Opel,Corsa,doors,5.0
Opel,Corsa,top_speed,180
Opel,Corsa,acceleration,9.9
Opel,Corsa,fuel_consumption,5.5
Opel,Corsa,engine,1.2 Turbo
Opel,Corsa,description,Opel Corsa 1.2 Turbo
Opel,Corsa,displacement,1197.0
Opel,Corsa,horsepower,110.0
Opel,Corsa,fuel_type,gasoline
Opel,Corsa,cylinders,4.0
Opel,Corsa,emissions_class,Euro 6d-TEMP
Peugeot,208,body_type,hatchback
Peugeot,208,doors,
Peugeot,208,top_speed,190
Peugeot,208,acceleration,9.9
Peugeot,208,fuel_consumption,5.0
Peugeot,208,engine,1.2 PureTech
Peugeot,208,description,Peugeot 208 1.2 PureTech
Peugeot,208,displacement,1199.0
Peugeot,208,horsepower,130.0
Peugeot,208,fuel_type,gasoline
Peugeot,208,cylinders,3.0
Peugeot,208,emissions_class,Euro 6d
Peugeot,3008,body_type,SUV
Peugeot,3008,doors,5.0
Peugeot,3008,top_speed,210
Peugeot,3008,acceleration,9.2
Peugeot,3008,fuel_consumption,5.6
Peugeot,3008,engine,1.6 THP
Peugeot,3008,description,Peugeot 3008 1.6 THP
Peugeot,3008,displacement,1598.0
Peugeot,3008,horsepower,165.0
Peugeot,3008,fuel_type,gasoline
Peugeot,3008,cylinders,4.0
Peugeot,3008,emissions_class,Euro 5
Porsche,911,body_type,coupe
Porsche,911,doors,
Porsche,911,top_speed,330
Porsche,911,acceleration,3.5
Porsche,911,fuel_consumption,11.8
Porsche,911,engine,3.0L Twin Turbo V6
Porsche,911,description,Porsche 911 3.0L Twin Turbo V6
Porsche,911,displacement,3000.0
Porsche,911,horsepower,450.0
Porsche,911,fuel_type,gasoline
Porsche,911,cylinders,6.0
Porsche,911,emissions_class,Euro 6
Renault,Clio,body_type,hatchback
Renault,Clio,doors,5.0
Renault,Clio,top_speed,190
Renault,Clio,acceleration,11.0
Renault,Clio,fuel_consumption,6.5
Renault,Clio,engine,1.5 dCi
Renault,Clio,description,Renault Clio 1.5 dCi
Renault,Clio,displacement,1461.0
Renault,Clio,horsepower,115.0
Renault,Clio,fuel_type,diesel
Renault,Clio,cylinders,4.0
Renault,Clio,emissions_class,Euro 6d-TEMP
Renault,Megane,body_type,hatchback
Renault,Megane,doors,5.0
Renault,Megane,top_speed,215
Renault,Megane,acceleration,7.9
Renault,Megane,fuel_consumption,5.4
Renault,Megane,engine,1.5 dCi
Renault,Megane,description,Renault Megane 1.5 dCi
Renault,Megane,displacement,1461.0
Renault,Megane,horsepower,115.0
Renault,Megane,fuel_type,diesel
Renault,Megane,cylinders,4.0
Renault,Megane,emissions_class,Euro 6d-TEMP
Seat,Leon,body_type,hatchback
Seat,Leon,doors,5.0
Seat,Leon,top_speed,240
Seat,Leon,acceleration,8.0
Seat,Leon,fuel_consumption,
Seat,Leon,engine,1.5 TSI
Seat,Leon,description,Seat Leon 1.5 TSI
Seat,Leon,displacement,1498.0
Seat,Leon,horsepower,150.0
Seat,Leon,fuel_type,gasoline
Seat,Leon,cylinders,4.0
Seat,Leon,emissions_class,Euro 6d
Volkswagen,Golf,body_type,hatchback
Volkswagen,Golf,doors,5.0
Volkswagen,Golf,top_speed,210
Volkswagen,Golf,acceleration,8.0
Volkswagen,Golf,fuel_consumption,5.0
Volkswagen,Golf,engine,1.5 TSI
Volkswagen,Golf,description,Volkswagen Golf 1.5 TSI
Volkswagen,Golf,displacement,1498.0
Volkswagen,Golf,horsepower,150.0
Volkswagen,Golf,fuel_type,gasoline
Volkswagen,Golf,cylinders,4.0
Volkswagen,Golf,emissions_class,Euro 6d
Volkswagen,Passat,body_type,sedan
Volkswagen,Passat,doors,4.0
Volkswagen,Passat,top_speed,230
Volkswagen,Passat,acceleration,7.5
Volkswagen,Passat,fuel_consumption,6.0
Volkswagen,Passat,engine,2.0 TDI
Volkswagen,Passat,description,Volkswagen Passat 2.0 TDI
Volkswagen,Passat,displacement,1968.0
Volkswagen,Passat,horsepower,150.0
Volkswagen,Passat,fuel_type,diesel
Volkswagen,Passat,cylinders,4.0
Volkswagen,Passat,emissions_class,Euro 6d-TEMP
Volvo,S60,body_type,sedan
Volvo,S60,doors,4.0
Volvo,S60,top_speed,250
Volvo,S60,acceleration,6.2
Volvo,S60,fuel_consumption,6.6
Volvo,S60,engine,T8 Polestar Engineered
Volvo,S60,description,Volvo S60 T8 Polestar Engineered
Volvo,S60,displacement,1969.0
Volvo,S60,horsepower,415.0
Volvo,S60,fuel_type,hybrid
Volvo,S60,cylinders,4.0
Volvo,S60,emissions_class,Euro 6
Volvo,XC60,body_type,SUV
Volvo,XC60,doors,5.0
Volvo,XC60,top_speed,220
Volvo,XC60,acceleration,8.0
Volvo,XC60,fuel_consumption,6.0
Volvo,XC60,engine,B4
Volvo,XC60,description,Volvo XC60 B4
Volvo,XC60,displacement,
Volvo,XC60,horsepower,
Volvo,XC60,fuel_type,
Volvo,XC60,cylinders,
Volvo,XC60,emissions_class,
